key	en_us	zh_cn	zh_hk	zh_tw	lzh	ja_jp	ko_kr	vi_vn
biome.minecraft.savanna	Savanna	热带草原	熱帶稀樹草原	莽原	莽原	サバンナ	사바나	Xa-van
biome.minecraft.savanna_plateau	Savanna Plateau	热带高原	熱帶稀樹草原高地	莽原高地	莽塬	サバンナの高原	사바나 고원	Cao nguyên Xa-van
biome.minecraft.small_end_islands	Small End Islands	末地小型岛屿	終界小島	終界小島	終界嶼	小さなエンド島	작은 엔드 섬	Đảo End nhỏ
biome.minecraft.snowy_beach	Snowy Beach	积雪沙滩	冰雪沙灘	冰雪沙灘	雪灘	雪の砂浜	눈 덮인 해변	Biển băng tuyết
biome.minecraft.snowy_plains	Snowy Plains	雪原	雪原	雪原	雪原	雪原	눈 덮인 평원	Đồng bằng băng tuyết
biome.minecraft.snowy_slopes	Snowy Slopes	积雪山坡	雪坡	雪坡	雪阪	雪の斜面	눈 덮인 비탈	Dốc tuyết
biome.minecraft.snowy_taiga	Snowy Taiga	积雪针叶林	冰雪針葉林	冰雪針葉林	雪棘林	雪のタイガ	눈 덮인 타이가	Rừng Taiga băng tuyết
biome.minecraft.soul_sand_valley	Soul Sand Valley	灵魂沙峡谷	靈魂砂谷	靈魂砂谷	靈沙谷	ソウルサンドの谷	영혼 모래 골짜기	Thung lũng cát linh hồn
biome.minecraft.sparse_jungle	Sparse Jungle	稀疏丛林	稀疏叢林	稀疏叢林	疏叢莽	まばらなジャングル	듬성듬성한 정글	Rừng nhiệt đới thưa thớt
biome.minecraft.stony_peaks	Stony Peaks	裸岩山峰	石峯	裸岩山峰	石峰	石だらけの山頂	돌 봉우리	Đỉnh núi đá
biome.minecraft.stony_shore	Stony Shore	石岸	石岸	石岸	石岸	石だらけの海岸	돌 해안	Bờ đá
biome.minecraft.sunflower_plains	Sunflower Plains	向日葵平原	向日葵平原	向日葵平原	葵藿原野	ヒマワリ平原	해바라기 평원	Đồng bằng hướng dương
biome.minecraft.swamp	Swamp	沼泽	沼澤地	沼澤	澤	沼地	늪	Đầm lầy
biome.minecraft.taiga	Taiga	针叶林	針葉林	針葉林	棘林	タイガ	타이가	Rừng Taiga
biome.minecraft.the_end	The End	末地	終界	終界	終界	ジ・エンド	엔드	The End
biome.minecraft.the_void	The Void	虚空	虛空	虛空	太虛	奈落	공허	Cõi hư không
biome.minecraft.warm_ocean	Warm Ocean	暖水海洋	温暖海洋	溫暖海洋	暖海	暖かい海	따뜻한 바다	Đại dương ấm áp
biome.minecraft.warped_forest	Warped Forest	诡异森林	迷離森林	扭曲森林	譎蕈林	歪んだ森	뒤틀린 숲	Rừng kì dị
biome.minecraft.windswept_forest	Windswept Forest	风袭森林	風襲森林	風蝕森林	當風林	吹きさらしの森	바람이 세찬 숲	Rừng lộng gió
biome.minecraft.windswept_gravelly_hills	Windswept Gravelly Hills	风袭沙砾丘陵	風襲砂礫丘陵地	風蝕礫質丘陵	當風礫丘	吹きさらしの砂利の丘	바람이 세찬 자갈투성이 언덕	Đồi sỏi lộng gió
biome.minecraft.windswept_hills	Windswept Hills	风袭丘陵	風襲丘陵地	風蝕丘陵	當風丘	吹きさらしの丘	바람이 세찬 언덕	Đồi lộng gió
biome.minecraft.windswept_savanna	Windswept Savanna	风袭热带草原	風襲熱帶稀樹草原	風蝕莽原	當風莽原	吹きさらしのサバンナ	바람이 세찬 사바나	Xa-van lộng gió
biome.minecraft.wooded_badlands	Wooded Badlands	疏林恶地	疏林惡地	疏林惡地	塬林	森のある荒野	나무가 우거진 악지	Rừng cằn cỗi
block.minecraft.acacia_button	Acacia Button	金合欢木按钮	相思木按鈕	相思木按鈕	㭜鈕	アカシアのボタン	아카시아나무 버튼	Nút gỗ xiêm gai
block.minecraft.acacia_door	Acacia Door	金合欢木门	相思木門	相思木門	㭜門	アカシアのドア	아카시아나무 문	Cửa gỗ xiêm gai
block.minecraft.acacia_fence	Acacia Fence	金合欢木栅栏	相思木欄杆	相思木柵欄	㭜檻	アカシアのフェンス	아카시아나무 울타리	Hàng rào gỗ xiêm gai
block.minecraft.acacia_fence_gate	Acacia Fence Gate	金合欢木栅栏门	相思木閘門	相思木柵欄門	㭜扉	アカシアのフェンスゲート	아카시아나무 울타리 문	Cổng rào gỗ xiêm gai
block.minecraft.acacia_hanging_sign	Acacia Hanging Sign	悬挂式金合欢木告示牌	相思木吊牌	懸掛式相思木告示牌	㭜懸牌	アカシアの吊り看板	아카시아나무 매다는 표지판	Tấm biển treo gỗ xiêm gai
block.minecraft.acacia_leaves	Acacia Leaves	金合欢树叶	相思木樹葉	相思木樹葉	㭜葉	アカシアの葉	아카시아나무 잎	Lá xiêm gai
block.minecraft.acacia_log	Acacia Log	金合欢原木	相思木原木	相思木原木	㭜樁	アカシアの原木	아카시아나무 원목	Thân cây xiêm gai
block.minecraft.acacia_planks	Acacia Planks	金合欢木板	相思木板	相思木材	㭜材	アカシアの板材	아카시아나무 판자	Ván gỗ xiêm gai
block.minecraft.acacia_pressure_plate	Acacia Pressure Plate	金合欢木压力板	相思木壓力板	相思木壓力板	㭜踏板	アカシアの感圧板	아카시아나무 압력판	Đĩa cảm biến áp lực gỗ xiêm gai
block.minecraft.acacia_sapling	Acacia Sapling	金合欢树苗	相思木樹苗	相思木樹苗	㭜秧	アカシアの苗木	아카시아나무 묘목	Chồi cây xiêm gai
block.minecraft.acacia_sign	Acacia Sign	金合欢木告示牌	相思木指示牌	相思木告示牌	㭜牌	アカシアの看板	아카시아나무 표지판	Tấm biển gỗ xiêm gai
block.minecraft.acacia_slab	Acacia Slab	金合欢木台阶	相思木半磚	相思木半磚	㭜版	アカシアのハーフブロック	아카시아나무 반 블록	Phiến gỗ xiêm gai
block.minecraft.acacia_stairs	Acacia Stairs	金合欢木楼梯	相思木樓梯	相思木階梯	㭜階	アカシアの階段	아카시아나무 계단	Cầu thang gỗ xiêm gai
block.minecraft.acacia_trapdoor	Acacia Trapdoor	金合欢木活板门	相思木地板門	相思木地板門	㭜窖門	アカシアのトラップドア	아카시아나무 다락문	Cửa sập gỗ xiêm gai
block.minecraft.acacia_wall_hanging_sign	Acacia Wall Hanging Sign	墙上的悬挂式金合欢木告示牌	牆上的相思木吊牌	牆上的懸掛式相思木告示牌	壁中㭜懸牌	壁に付けられたアカシアの吊り看板	아카시아나무 벽 매다는 표지판	Tấm biển treo gỗ xiêm gai trên tường
block.minecraft.acacia_wall_sign	Acacia Wall Sign	墙上的金合欢木告示牌	牆上的相思木指示牌	牆上的相思木告示牌	壁中㭜牌	壁に付けられたアカシアの看板	아카시아나무 벽 표지판	Tấm biển gỗ xiêm gai trên tường
block.minecraft.acacia_wood	Acacia Wood	金合欢木	相思木	相思木塊	㭜木	アカシアの木	아카시아나무	Gỗ xiêm gai
block.minecraft.activator_rail	Activator Rail	激活铁轨	觸發路軌	觸發鐵軌	激軌	アクティベーターレール	활성화 레일	Đường ray kích hoạt
block.minecraft.air	Air	空气	空氣	空氣	氣	空気	공기	Không khí
block.minecraft.allium	Allium	绒球葱	絨球葱	紫紅球花	碩蔥	アリウム	알리움	Hành tím
block.minecraft.amethyst_block	Block of Amethyst	紫水晶块	紫水晶磚	紫水晶方塊	紫水玉塊	アメジストブロック	자수정 블록	Khối thạch anh tím
block.minecraft.amethyst_cluster	Amethyst Cluster	紫水晶簇	紫水晶簇	紫水晶晶簇	紫水玉簇	アメジストの塊	자수정 군집	Cụm thạch anh tím
block.minecraft.ancient_debris	Ancient Debris	远古残骸	遠古殘骸	遠古遺骸	上古之骸	古代の残骸	고대 잔해	Mảnh vỡ cổ đại
block.minecraft.andesite	Andesite	安山岩	安山岩	安山岩	安山巖	安山岩	안산암	Đá andesit
block.minecraft.andesite_slab	Andesite Slab	安山岩台阶	安山岩半磚	安山岩半磚	安山巖板	安山岩のハーフブロック	안산암 반 블록	Phiến đá andesit
block.minecraft.andesite_stairs	Andesite Stairs	安山岩楼梯	安山岩樓梯	安山岩階梯	安山巖階	安山岩の階段	안산암 계단	Cầu thang đá andesit
block.minecraft.andesite_wall	Andesite Wall	安山岩墙	安山岩牆	安山岩牆	安山巖垣	安山岩の塀	안산암 담장	Tường đá andesit
block.minecraft.anvil	Anvil	铁砧	鐵砧	鐵砧	鐵砧	金床	모루	Cái đe
block.minecraft.attached_melon_stem	Attached Melon Stem	结果的西瓜茎	連接的西瓜椗	連接的西瓜梗	垂寒瓜莖	実がなったスイカの茎	수박이 달린 줄기	Cuống dưa hấu được gắn
block.minecraft.attached_pumpkin_stem	Attached Pumpkin Stem	结果的南瓜茎	連接的南瓜椗	連接的南瓜梗	垂南瓜莖	実がなったカボチャの茎	호박이 달린 줄기	Cuống bí ngô được gắn
block.minecraft.azalea	Azalea	杜鹃花丛	杜鵑叢	杜鵑叢	杜鵑	ツツジ	진달래	Đỗ quyên
block.minecraft.azalea_leaves	Azalea Leaves	杜鹃树叶	杜鵑樹葉	杜鵑葉	杜鵑葉	ツツジの葉	진달래 잎	Lá đỗ quyên
block.minecraft.azure_bluet	Azure Bluet	蓝花美耳草	雛草	雛草	藍茜	ヒナソウ	선애기별꽃	Thiến thảo xanh
block.minecraft.bamboo	Bamboo	竹子	竹	竹子	竹	竹	대나무	Cây tre
block.minecraft.bamboo_block	Block of Bamboo	竹块	竹塊	竹方塊	竹塊	竹ブロック	대나무 블록	Khối tre
block.minecraft.bamboo_button	Bamboo Button	竹按钮	竹按鈕	竹按鈕	竹鈕	竹のボタン	대나무 버튼	Nút gỗ tre
block.minecraft.bamboo_door	Bamboo Door	竹门	竹門	竹門	竹門	竹のドア	대나무 문	Cửa gỗ tre
block.minecraft.bamboo_fence	Bamboo Fence	竹栅栏	竹欄杆	竹柵欄	竹檻	竹のフェンス	대나무 울타리	Hàng rào gỗ tre
block.minecraft.bamboo_fence_gate	Bamboo Fence Gate	竹栅栏门	竹閘門	竹柵欄門	竹扉	竹のフェンスゲート	대나무 울타리 문	Cổng rào gỗ tre
block.minecraft.bamboo_hanging_sign	Bamboo Hanging Sign	悬挂式竹告示牌	竹吊牌	懸掛式竹告示牌	竹懸牌	竹の吊り看板	대나무 매다는 표지판	Tấm biển treo gỗ tre
block.minecraft.bamboo_mosaic	Bamboo Mosaic	竹马赛克	竹拼塊	竹拼塊	竹嵌工	竹細工	대나무 모자이크	Khảm tre
block.minecraft.bamboo_mosaic_slab	Bamboo Mosaic Slab	竹马赛克台阶	竹拼半磚	竹拼半磚	竹嵌工版	竹細工のハーフブロック	대나무 모자이크 반 블록	Phiến khảm tre
block.minecraft.bamboo_mosaic_stairs	Bamboo Mosaic Stairs	竹马赛克楼梯	竹拼樓梯	竹拼階梯	竹嵌工階	竹細工の階段	대나무 모자이크 계단	Cầu thang khảm tre
block.minecraft.bamboo_planks	Bamboo Planks	竹板	竹板	竹材	竹材	竹の板材	대나무 판자	Ván gỗ tre
block.minecraft.bamboo_pressure_plate	Bamboo Pressure Plate	竹压力板	竹壓力板	竹壓力板	竹踏板	竹の感圧板	대나무 압력판	Đĩa cảm biến áp lực gỗ tre
block.minecraft.bamboo_sapling	Bamboo Shoot	竹笋	竹筍	竹筍	竹筍	タケノコ	죽순	Măng tre
block.minecraft.bamboo_sign	Bamboo Sign	竹告示牌	竹指示牌	竹告示牌	竹牌	竹の看板	대나무 표지판	Tấm biển gỗ tre
block.minecraft.bamboo_slab	Bamboo Slab	竹台阶	竹半磚	竹半磚	竹版	竹のハーフブロック	대나무 반 블록	Phiến gỗ tre
block.minecraft.bamboo_stairs	Bamboo Stairs	竹楼梯	竹樓梯	竹階梯	竹階	竹の階段	대나무 계단	Cầu thang gỗ tre
block.minecraft.bamboo_trapdoor	Bamboo Trapdoor	竹活板门	竹地板門	竹地板門	竹窖門	竹のトラップドア	대나무 다락문	Cửa sập gỗ tre
block.minecraft.bamboo_wall_hanging_sign	Bamboo Wall Hanging Sign	墙上的悬挂式竹告示牌	牆上的竹吊牌	牆上的懸掛式竹告示牌	壁中竹懸牌	壁に付けられた竹の吊り看板	대나무 벽 매다는 표지판	Tấm biển treo gỗ tre trên tường
block.minecraft.bamboo_wall_sign	Bamboo Wall Sign	墙上的竹告示牌	牆上的竹指示牌	牆上的竹告示牌	壁中竹牌	壁に付けられた竹の看板	대나무 벽 표지판	Tấm biển gỗ tre trên tường
block.minecraft.barrel	Barrel	木桶	木桶	木桶	木桶	樽	통	Thùng
block.minecraft.barrier	Barrier	屏障	障幕	屏障	障	バリアブロック	방벽	Rào chắn
block.minecraft.basalt	Basalt	玄武岩	玄武岩	玄武岩	黑堦石	玄武岩	현무암	Đá bazan
block.minecraft.beacon	Beacon	信标	烽火台	烽火台	烽火臺	ビーコン	신호기	Đèn hiệu
block.minecraft.bedrock	Bedrock	基岩	基岩	基岩	基石	岩盤	기반암	Đá nền
block.minecraft.bee_nest	Bee Nest	蜂巢	蜂巢	蜂窩	蜂巢	ミツバチの巣	벌집	Tổ ong tự nhiên
block.minecraft.beehive	Beehive	蜂箱	蜂箱	蜂箱	蜂箱	養蜂箱	벌통	Tổ ong nhân tạo
block.minecraft.beetroots	Beetroots	甜菜根	紅菜頭	甜菜根	甘藜根	ビートルート	비트	Củ dền
block.minecraft.bell	Bell	钟	鐘	鐘	鐘	鐘	종	Chuông
block.minecraft.big_dripleaf	Big Dripleaf	大型垂滴叶	大懸葉草	大懸葉草	碩垂滴葉	大きなドリップリーフ	큰 흘림잎	Lá nhỏ giọt lớn
block.minecraft.big_dripleaf_stem	Big Dripleaf Stem	大型垂滴叶茎	大懸葉草葉椗	大懸葉草葉柄	碩垂滴葉莖	大きなドリップリーフの茎	큰 흘림잎 줄기	Cuống lá nhỏ giọt lớn
block.minecraft.birch_button	Birch Button	白桦木按钮	樺木按鈕	樺木按鈕	樺鈕	シラカバのボタン	자작나무 버튼	Nút gỗ bạch dương
block.minecraft.birch_door	Birch Door	白桦木门	樺木門	樺木門	樺門	シラカバのドア	자작나무 문	Cửa gỗ bạch dương
block.minecraft.birch_fence	Birch Fence	白桦木栅栏	樺木欄杆	樺木柵欄	樺檻	シラカバのフェンス	자작나무 울타리	Hàng rào gỗ bạch dương
block.minecraft.birch_fence_gate	Birch Fence Gate	白桦木栅栏门	樺木閘門	樺木柵欄門	樺扉	シラカバのフェンスゲート	자작나무 울타리 문	Cổng rào gỗ bạch dương
block.minecraft.birch_hanging_sign	Birch Hanging Sign	悬挂式白桦木告示牌	樺木吊牌	懸掛式樺木告示牌	樺懸牌	シラカバの吊り看板	자작나무 매다는 표지판	Tấm biển treo gỗ bạch dương
block.minecraft.birch_leaves	Birch Leaves	白桦树叶	樺木樹葉	樺木樹葉	樺葉	シラカバの葉	자작나무 잎	Lá bạch dương
block.minecraft.birch_log	Birch Log	白桦原木	樺木原木	樺木原木	樺樁	シラカバの原木	자작나무 원목	Thân cây bạch dương
block.minecraft.birch_planks	Birch Planks	白桦木板	樺木板	樺木材	樺材	シラカバの板材	자작나무 판자	Ván gỗ bạch dương
block.minecraft.birch_pressure_plate	Birch Pressure Plate	白桦木压力板	樺木壓力板	樺木壓力板	樺踏板	シラカバの感圧板	자작나무 압력판	Đĩa cảm biến áp lực gỗ bạch dương
block.minecraft.birch_sapling	Birch Sapling	白桦树苗	樺木樹苗	樺木樹苗	樺秧	シラカバの苗木	자작나무 묘목	Chồi cây bạch dương
block.minecraft.birch_sign	Birch Sign	白桦木告示牌	樺木指示牌	樺木告示牌	樺牌	シラカバの看板	자작나무 표지판	Tấm biển gỗ bạch dương
block.minecraft.birch_slab	Birch Slab	白桦木台阶	樺木半磚	樺木半磚	樺版	シラカバのハーフブロック	자작나무 반 블록	Phiến gỗ bạch dương
block.minecraft.birch_stairs	Birch Stairs	白桦木楼梯	樺木樓梯	樺木階梯	樺階	シラカバの階段	자작나무 계단	Cầu thang gỗ bạch dương
block.minecraft.birch_trapdoor	Birch Trapdoor	白桦木活板门	樺木地板門	樺木地板門	樺窖門	シラカバのトラップドア	자작나무 다락문	Cửa sập gỗ bạch dương
block.minecraft.birch_wall_hanging_sign	Birch Wall Hanging Sign	墙上的悬挂式白桦木告示牌	牆上的樺木吊牌	牆上的懸掛式樺木告示牌	壁中樺懸牌	壁に付けられたシラカバの吊り看板	자작나무 벽 매다는 표지판	Tấm biển treo gỗ bạch dương trên tường
block.minecraft.birch_wall_sign	Birch Wall Sign	墙上的白桦木告示牌	牆上的樺木指示牌	牆上的樺木告示牌	壁中樺牌	壁に付けられたシラカバの看板	자작나무 벽 표지판	Tấm biển gỗ bạch dương trên tường
